date,state,Cases,New_Known_Cases,Seven_day_average_New_Cases,Deaths,New_deaths
1/25/2020,California,1,1,1,0,0
1/26/2020,California,2,1,1,0,0
1/27/2020,California,2,0,0,0,0
1/28/2020,California,2,0,0,0,0
1/29/2020,California,2,0,0,0,0
1/30/2020,California,2,0,0,0,0
1/31/2020,California,3,1,0.428571429,0,0
2/1/2020,California,3,0,0.285714286,0,0
2/2/2020,California,6,3,0.571428571,0,0
2/3/2020,California,6,0,0.571428571,0,0
2/4/2020,California,6,0,0.571428571,0,0
2/5/2020,California,6,0,0.571428571,0,0
2/6/2020,California,6,0,0.571428571,0,0
2/7/2020,California,6,0,0.428571429,0,0
2/8/2020,California,6,0,0.428571429,0,0
2/9/2020,California,6,0,0,0,0
2/10/2020,California,7,1,0.142857143,0,0
2/11/2020,California,7,0,0.142857143,0,0
2/12/2020,California,7,0,0.142857143,0,0
2/13/2020,California,7,0,0.142857143,0,0
2/14/2020,California,7,0,0.142857143,0,0
2/15/2020,California,7,0,0.142857143,0,0
2/16/2020,California,7,0,0.142857143,0,0
2/17/2020,California,7,0,0,0,0
2/18/2020,California,7,0,0,0,0
2/19/2020,California,7,0,0,0,0
2/20/2020,California,8,1,0.142857143,0,0
2/21/2020,California,9,1,0.285714286,0,0
2/22/2020,California,9,0,0.285714286,0,0
2/23/2020,California,9,0,0.285714286,0,0
2/24/2020,California,11,2,0.571428571,0,0
2/25/2020,California,11,0,0.571428571,0,0
2/26/2020,California,26,15,2.714285714,0,0
2/27/2020,California,26,0,2.571428571,0,0
2/28/2020,California,27,1,2.571428571,0,0
2/29/2020,California,28,1,2.714285714,0,0
3/1/2020,California,33,5,3.428571429,0,0
3/2/2020,California,38,5,3.857142857,0,0
3/3/2020,California,45,7,4.857142857,0,0
3/4/2020,California,55,10,4.142857143,1,1
3/5/2020,California,67,12,5.857142857,1,0
3/6/2020,California,81,14,7.714285714,1,0
3/7/2020,California,100,19,10.28571429,1,0
3/8/2020,California,112,12,11.28571429,1,0
3/9/2020,California,172,60,19.14285714,2,1
3/10/2020,California,179,7,19.14285714,3,1
3/11/2020,California,202,23,21,4,1
3/12/2020,California,252,50,26.42857143,4,0
3/13/2020,California,320,68,34.14285714,5,1
3/14/2020,California,381,61,40.14285714,5,0
3/15/2020,California,478,97,52.28571429,6,1
3/16/2020,California,588,110,59.42857143,11,5
3/17/2020,California,732,144,79,14,3
